Municipality,Id,Gym,Gym Latitude,Gym Longitude
Bologna,4c0a65bdffb8c9b6486d6b61,Piscina Carmen Longo (Stadio),44.492342765531305,11.30864876997981
Bologna,5b61794a2a7ab6002c9cc75b,Yoga Studio Emme a.s.d.,44.52403899999999,11.347045
Bologna,5051d4f9e4b0a18a1e165f2d,PGM Bologna,44.495390636642384,11.387631380167262
Bologna,4d497319bdf988bfc5bea357,Centro Yoga Le Vie,44.491249128600444,11.34104391991047
Bologna,4d485988551db1f7a61ca230,Sport Village,44.5065,11.3746
Bologna,4ecd237a775b0e780dfbaecd,PGS Welcome,44.50878923805061,11.34781867679541
Bologna,526411d311d2eea38bd39520,Up Urban Climbing,44.503851561847675,11.404205560684204
Bari,4c988acd6ffe8cfa98b5fd2f,Centro Universitario Sportivo (CUS),41.136720171485514,16.845618002622423
Bari,4c3890982c8020a168fb8a00,Villa Camilla,41.09799125802811,16.85473918163556
Bari,54062d9e498ed1980149651f,Palestra McFIT,41.10566085271938,16.882551364418077
Bari,4eeba1279adf47d9ccbe59a4,New Wave,41.10433780495585,16.880009230023706
Bari,4cc0378c00d837045ee7485c,Wake Up,41.12209392123416,16.867789935732873
Bari,4d49adf05241236ac37f7804,Wellness'N Gym,41.11833363040973,16.864823382512572
Bari,50b9f3c672da7221ccee543c,Società Ginnastica Angiulli A.S.D.,41.10771,16.85398
Bari,521361e32fc6671495b2b43f,New Olimpic S.S.D.,41.0978276,16.9093461
Bari,4ec797bdd3e3e131f2579b90,Meta Health Club,41.1043148409283,16.879910179995587
Bari,4f087b26e4b09d21f696ced9,Planet Gym,41.10359306577371,16.883857363458734
Bari,4ec183642c5b252c1a66603a,Fit & Joy,41.12622297050845,16.84852753644339
Bari,4f16e9a0e4b0958ec6a99384,Bellavista,41.10604312453432,16.925176534039473
Catania,525e610011d2a8f72bf59983,Virgin Active,37.53397335536488,15.115277001383813
Catania,4d5a30f2f8ff236a2f67d34a,CUS Catania,37.52659977312757,15.071310568813239
Catania,4dbd50f0fa8cee72736363c8,Muri Antichi,37.53717766383019,15.095921958069198
Catania,4ec5149a30f81945152a362b,CUS Catania - Sala Attrezzi,37.52688570946331,15.071221426568629
Catania,4e9c5ade7ee539c857ec6ff0,Perfection,37.53863823842085,15.081888711734695
Catania,4dcae3ccae60f205440376ca,Kinesis,37.52199432415898,15.113518793250886
Catania,4c9db397542b224bf6c8ec9f,First Fitness Club,37.53587275883419,15.117618548935377
Catania,4dd3eda2e4cd6154148a24a6,Fit280,37.515759480662766,15.103832009475251
Catania,4e7743f3d22d80eb33fe3c5a,"Palestra ""ODISSEA 2000""",37.48341144981543,15.058689624171741
Catania,4e312167c65b93ca1a416a8c,Feel Fit,37.5088848389972,15.0758448733317
Catania,4e5c9795e4cd6fcf27f22682,Gym - Sigonella,37.46251578246517,14.960344749599303
Catania,4db703e70437fa536a64138d,Altair,37.52582002242875,15.087072423155142
Catania,4cae5c6591529c74e30542b8,"Nadir Centro Benessere, Piscina, Palestra",37.51883596712193,15.085592422538362
Catania,4e0482561f6e97fbec32a1df,Sigonella Pool Nas,37.465068157104014,14.962406655982466
Catania,517bcdc3e4b0696137412b47,Altair Palestra E Piscina,37.51517755563,15.091598929371488
Catania,51f55bdc5019fe4dc2cc197a,Dai-Ki Dojo Jiu Jitsu Academy,37.52736889595099,15.09145475767155
