Gym Id,Gym name,Gym latitude,Gym longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,La Prosciutteria Firenze,44.496025,11.345934,Trattoria/Osteria
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Camera a Sud,44.496400052265045,11.347093056698165,Wine Bar
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Gelateria delle Moline,44.49842,11.34687,Dessert Shop
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Trattoria La Montanara,44.4988678857353,11.345626304614777,Italian Restaurant
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Antica Gelateria Artigianale Pellegrino,44.49577057775542,11.34581577285552,Ice Cream Shop
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Terzi Caffè,44.49532172848196,11.34556135085612,Café
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Moghul,44.495577,11.346744,Indian Restaurant
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,La piccola Venezia - Finestra Sul Reno,44.49860500120059,11.345318483774998,Scenic Lookout
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Jukebox Cafe,44.497297414296426,11.347512355084264,Burger Joint
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Naama Cafè,44.49781565231447,11.346256821842694,Coffee Shop
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Va Mo Lá,44.49815754275675,11.347478329654304,Food Court
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Fragóla,44.496769,11.346358,Juice Bar
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Caffè Rubik,44.496821,11.347277,Café
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Osteria dell'Orsa,44.497097,11.347539,Trattoria/Osteria
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Disney Store,44.49547037826145,11.342875504697922,Toy / Game Store
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Ghetto Ebraico,44.49580432982271,11.3468599319458,Historic Site
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Apple Via Rizzoli,44.494765,11.344236,Electronics Store
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Piazza Nettuno,44.494685,11.34288,Plaza
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Gelateria Gianni,44.494578,11.346979,Ice Cream Shop
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Zazie,44.498429,11.344001,Juice Bar
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Pappare',44.49457595644871,11.346689416775321,Bistro
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Kiko Store,44.49617744765634,11.342951636192012,Cosmetics Shop
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Marsalino,44.49738822845399,11.345019208916412,Wine Bar
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Gusto Chengdu,44.49507,11.346844,Chinese Restaurant
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Due Torri,44.49440113129215,11.346772904011337,Monument / Landmark
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Pizza Altero,44.49824,11.34354,Pizza Place
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Piazza di Porta Ravegnana,44.49442971059457,11.346743819815247,Plaza
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Basilica di San Martino Maggiore,44.49719581324597,11.346340401987456,Church
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Il Cantuccio,44.49768551660593,11.34220923387032,Seafood Restaurant
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Hotel Corona D'Oro,44.49551885112532,11.34557592984758,Hotel
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Ristorante Donatello,44.49923,11.34459,Italian Restaurant
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Metropolitan Hotel,44.49851573856973,11.34310120463919,Hotel
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Twinside,44.49911483299031,11.343452461234882,Gastropub
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Pescheria Pavaglione,44.49369146934461,11.344830505406472,Fish Market
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Teatro Manzoni,44.497194763153935,11.342586798318852,Theater
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Trattoria Oberdan Da Mario,44.49834,11.34634,Trattoria/Osteria
4be2ce0db02ec9b6b1b44dc0,Prime,44.49693725287468,11.345127768873065,Palazzo Fava - Palazzo delle Esposizioni,44.4963581833471,11.342599670378346,Art Museum
